Co_1016,-2.202
Co_1041,-2.605
Co_1079,-1.971
Co_1136,-2.382
Co_1156,-1.686
Co_1182,-2.267
Co_1223,-2.368
Co_1255,-2.525
Co_1274,-2.548
Co_1307,-3.061
Cr_106,-3.408
Cr_1098,-2.994
Cr_1130,-2.897
Cr_1163,-3.106
Cr_1287,-2.777
Cr_1337,-3.031
Cr_1475,-2.897
Cr_1481,-2.665
Cr_1505,-2.781
Cr_1548,-2.586
Cu_1006,-1.335
Cu_100,-2.239
Cu_1022,-1.897
Cu_1023,-1.234
Cu_1079,-1.132
Cu_1082,-2.723
Cu_1204,-2.730
Cu_1458,-1.657
Cu_1528,-1.626
Cu_1595,-1.037
Fe_1099,-2.293
Fe_1177,-2.346
Fe_1272,-2.294
Fe_1298,-2.551
Fe_1304,-2.511
Fe_1310,-2.327
Fe_1450,-2.138
Fe_1507,-1.918
Fe_1530,-3.037
Fe_1539,-2.356
Mg_1018,-3.544
Mg_1043,-2.366
Mg_1148,-2.241
Mg_1170,-1.062
Mg_1214,-2.199
Mg_1220,-2.292
Mg_1428,-2.192
Mg_1503,-2.186
Mg_1510,-2.433
Mg_158,-2.671
Mn_1048,-2.764
Mn_104,-2.475
Mn_1053,-2.239
Mn_1082,-2.883
Mn_1084,-2.610
Mn_1117,-2.551
Mn_1141,-2.386
Mn_1167,-2.429
Mn_1171,-2.637
Mn_1302,-2.183
Ni_1064,-2.060
Ni_1146,-2.054
Ni_1166,-1.521
Ni_1190,-1.848
Ni_1267,-2.021
Ni_129,-2.422
Ni_1302,-1.635
Ni_1340,-2.273
Ni_1385,-2.260
Ni_1452,-1.748
Ti_1042,-2.877
Ti_1050,-1.579
Ti_1114,-2.428
Ti_1119,-2.850
Ti_113,-2.039
Ti_1187,-3.306
Ti_1253,-2.454
Ti_1432,-3.072
Ti_1466,-2.508
Ti_156,-2.597
V_1150,-3.077
V_1225,-3.303
V_1274,-3.224
V_1297,-2.323
V_130,-3.077
V_1336,-2.008
V_1341,-2.462
V_1345,-2.786
V_1574,-2.273
V_1576,-2.491
Zn_1039,-2.976
Zn_1074,-2.999
Zn_1088,-1.884
Zn_1120,-2.900
Zn_1152,-2.197
Zn_117,-2.988
Zn_1186,-2.545
Zn_122,-1.689
Zn_1272,-2.021
Zn_1295,-2.524
